"email_id,label,email_text"
"1,spam,PILLS DISCOUNT LOSE WEIGHT FAST"
"2,spam,MIRACLE CURE GUARANTEED RESULTS NOW"
"3,spam,WEIGHT LOSS FAST PILLS CHEAP"
"4,spam,CURE CURE MIRACLE DISCOUNT PILLS"
"5,spam,FAST RESULTS GUARANTEED LOSE WEIGHT"
"6,ham,APPOINTMENT CONFIRMED DOCTOR OFFICE TUESDAY"
"7,ham,PRESCRIPTION READY PHARMACY PICKUP AVAILABLE"
"8,ham,TEST RESULTS AVAILABLE PORTAL LOGIN"
"9,ham,REMINDER APPOINTMENT TOMORROW CLINIC LOCATION"
"10,ham,INSURANCE CLAIM PROCESSED PAYMENT SUMMARY"
