"email_id,label,email_text"
"1,spam,FOLLOWERS INSTANT BOOST GUARANTEED CHEAP"
"2,spam,VIRAL GUARANTEED FOLLOWERS BOOST NOW"
"3,spam,LIKES UNLIMITED FREE TRIAL INSTANT"
"4,spam,BOOST ENGAGEMENT GUARANTEED FOLLOWERS LIKES"
"5,spam,INSTANT INSTANT VIRAL BOOST FOLLOWERS"
"6,ham,FRIEND REQUEST ACCEPTED PROFILE UPDATED"
"7,ham,MESSAGE RECEIVED REPLY NOTIFICATION THREAD"
"8,ham,PHOTO TAGGED COMMENT POSTED ALBUM"
"9,ham,GROUP INVITATION EVENT TOMORROW RSVP"
"10,ham,PROFILE UPDATE SETTINGS CHANGED PRIVACY"
